"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N","P3_009N","P3_010N","P3_011N","P3_012N","P3_013N","P3_014N","P3_015N","P3_016N","P3_017N","P3_018N","P3_019N","P3_020N","P3_021N","P3_022N","P3_023N","P3_024N","P3_025N","P3_026N","P3_027N","P3_028N","P3_029N","P3_030N","P3_031N","P3_032N","P3_033N","P3_034N","P3_035N","P3_036N","P3_037N","P3_038N","P3_039N","P3_040N","P3_041N","P3_042N","P3_043N","P3_044N","P3_045N","P3_046N","P3_047N","P3_048N","P3_049N","P3_050N","P3_051N","P3_052N","P3_053N","P3_054N","P3_055N","P3_056N","P3_057N","P3_058N","P3_059N","P3_060N","P3_061N","P3_062N","P3_063N","P3_064N","P3_065N","P3_066N","P3_067N","P3_068N","P3_069N","P3_070N","P3_071N"
"0400000US42","Pennsylvania","10353548","9866356","8011431","1070165","23520","400676","3289","357275","487192","459561","59007","79542","35624","2157","234846","10922","3494","699","23768","607","132","3872","1410","1983","1498","23792","9340","1303","207","4952","761","133","3544","851","855","133","224","60","879","128","207","77","12","42","27","57","3473","626","104","2222","64","158","26","65","69","21","47","19","29","0","18","5","305","143","140","10","9","0","3","61","61"
"0400000US44","Rhode Island","887594","819583","661221","46356","5420","31719","402","74465","68011","63156","5051","6194","3784","225","31127","1534","199","63","13195","60","14","815","157","289","449","4194","1031","120","22","1686","92","18","469","85","111","38","23","9","319","26","62","31","5","25","15","7","612","74","14","438","10","32","6","4","7","3","4","3","2","10","5","0","40","9","19","8","0","4","0","9","9"
"0400000US45","South Carolina","4014460","3827458","2645357","971344","18598","71009","2462","118688","187002","177182","23248","46890","12255","974","77838","5771","1551","334","5598","210","57","1140","632","474","210","8479","3532","506","67","1075","470","76","1484","443","294","43","83","17","184","87","51","14","20","7","5","21","1101","226","44","550","47","51","6","67","37","7","24","14","7","3","14","4","210","86","86","12","14","8","4","30","30"
"0400000US46","South Dakota","669255","643144","561954","11645","48674","10005","430","10436","26111","25003","2012","10436","1764","200","9417","385","88","11","211","88","32","206","89","33","31","973","323","55","20","75","69","19","243","80","17","19","15","0","13","4","0","8","6","0","4","3","113","10","8","29","13","8","4","20","6","4","3","0","2","0","1","5","22","11","3","0","1","6","1","0","0"
"0400000US47","Tennessee","5384473","5120178","4013858","817496","21197","104794","2950","159883","264295","252224","27596","86065","17014","1483","104215","4750","1580","292","5366","243","74","1947","750","622","227","10712","4119","598","85","1217","748","133","2255","620","343","74","84","21","170","105","44","18","29","12","2","35","1137","276","41","523","31","71","3","63","55","8","24","12","6","6","10","8","210","103","81","9","8","5","4","12","12"
"0400000US48","Texas","21866700","18325577","11466950","2627714","206988","1219232","23781","2780912","3541123","3443781","94664","244061","89592","6794","2871897","19407","9864","2029","42948","2118","431","40995","8612","7978","2391","87583","15124","3125","378","11188","3116","494","41071","3371","5526","645","490","97","1389","453","418","120","77","208","74","219","8489","1286","159","4898","222","429","40","325","652","59","214","69","58","2","53","23","1150","388","567","78","37","53","27","120","120"
"0400000US49","Utah","2324051","2157567","1861739","26919","29983","63947","23909","151070","166484","157826","7750","20437","16076","5770","100033","537","399","274","1547","217","170","2198","1622","596","200","7843","805","223","83","597","379","152","3069","1803","401","91","30","8","41","49","29","2","18","18","0","45","720","67","23","329","36","19","3","92","61","15","44","10","5","8","1","7","90","34","33","8","0","10","5","5","5"
"0400000US50","Vermont","524482","499124","477428","6392","1866","9191","155","4092","25358","24302","1584","9968","2038","139","9992","127","30","13","222","24","11","61","36","50","7","928","332","49","11","137","69","13","176","48","32","23","1","0","8","10","4","0","2","3","2","8","102","21","5","52","9","0","0","6","0","0","2","4","2","1","0","0","22","7","13","0","0","2","0","4","4"
"0400000US51","Virginia","6745054","6303145","4235488","1242045","30348","481424","5374","308466","441909","413594","49006","65493","54322","2447","199822","11242","5431","683","14275","612","64","5047","2470","2208","472","24524","8376","1769","213","3358","1168","129","4993","1529","1367","85","312","67","458","313","190","31","21","40","23","82","3330","688","91","1818","139","168","12","114","136","8","84","14","10","9","33","6","429","168","214","23","5","9","10","32","32"
"0400000US53","Washington","6024689","5496473","4190823","230367","89010","589367","44998","351908","528216","493034","40219","102912","77860","8842","228936","4520","5056","1000","5078","1894","480","4494","8521","2497","725","31469","6301","2420","369","2236","3294","577","7091","5826","1644","241","310","60","277","270","135","21","164","67","19","147","3244","709","127","1101","217","165","24","428","185","25","186","42","12","5","9","9","393","191","127","15","28","29","3","76","76"
